0.00    all     0.8252
0.10    all     0.7844
0.20    all     0.6742
0.30    all     0.5707
0.40    all     0.4868
0.50    all     0.4178
0.60    all     0.3095
0.70    all     0.2457
0.80    all     0.1622
0.90    all     0.1219
1.00    all     0.1071
